text_left,corpus,collection,hit_text,last_index,text_right,docpid,end_time,begin_time,hit_pos,hit_phonetic,first_index,hit_lemma
uh was onze inschatting dat,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,436,dit jaar eigenlijk in plaats,fn000007,00:02:39.518,00:02:39.263,"VNW(pers,pron,stan,red,3,ev,onz)",@t,436,het
er iets aan van dat,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,457,dit jaar eigenlijk nog slechter,fn000007,00:02:45.044,00:02:44.913,"VNW(pers,pron,stan,red,3,ev,onz)",@d,457,het
want de grote probleem is,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,581,is een algemeen vak en,fn000007,00:03:29.224,00:03:28.985,"VNW(pers,pron,stan,red,3,ev,onz)",@t,581,het
zien ze niet zitten of,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,616,is te groot en de,fn000007,00:03:38.393,00:03:38.282,"VNW(pers,pron,stan,red,3,ev,onz)",@t,616,het
de vraag rijst hoe vaak,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,725,negatief beoordeeld moet worden voor,fn000007,00:04:15.792,00:04:15.627,"VNW(pers,pron,stan,red,3,ev,onz)",@t,725,het
de zorg uit over hoe,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,826,gaat lopen . ja en,fn000007,00:04:40.365,00:04:40.229,"VNW(pers,pron,stan,red,3,ev,onz)",w-@t,826,het
de vorige keer ook bij,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,23,verdelingsvoorstel heb gemaakt uh .,fn000008,00:00:06.075,00:00:05.995,"LID(bep,stan,evon)",@t,23,het
de input pret parameters voor,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,45,uh verdelingsmodel zijn de onderwijs-,fn000008,00:00:13.087,00:00:12.913,"LID(bep,stan,evon)",@t,45,het
kunnen brengen ofwel h&egrave; in,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,156,onderzoekinstituut ofwel in het onderwijsinstituut,fn000008,00:00:56.419,00:00:56.170,"LID(bep,stan,evon)",hEt,156,het
in het onderzoekinstituut ofwel in,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,160,onderwijsinstituut . wij hebben geopteerd,fn000008,00:00:58.110,00:00:58.015,"LID(bep,stan,evon)",@t,160,het
anders kunnen uitvallen . of,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,245,nou inderdaad opportuun is om,fn000008,00:01:26.623,00:01:26.522,"VNW(pers,pron,stan,red,3,ev,onz)",@t,245,het
blijven dat ook . dus,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,352,is niet zo dat nu,fn000008,00:02:05.445,00:02:05.354,"VNW(pers,pron,stan,red,3,ev,onz)",@t,352,het
de uh beheersvoerende directeur van,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,363,onderwijsinstituut daarmee ook als 't,fn000008,00:02:10.541,00:02:10.361,"LID(bep,stan,evon)",hEt,363,het
ja . dit jaar is,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,516,afgelopen jaar is het eerste,fn000008,00:02:59.489,00:02:59.378,"LID(bep,stan,evon)",@t,516,het
is het afgelopen jaar is,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,520,eerste jaar dat wij 't,fn000008,00:03:00.761,00:03:00.549,"LID(bep,stan,evon)",@t,520,het
instituut . die zijn op,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,617,instituut aanwezig en of u,fn000008,00:03:26.213,00:03:26.011,"LID(bep,stan,evon)",hEt,617,het
de directeur moet of naar,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,630,secretariaat ik weet dat niet,fn000008,00:03:30.003,00:03:29.882,"LID(bep,stan,evon)",@t,630,het
niet bekend enige daad op,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,724,gebied van handtekeningen zetten door,fn000008,00:04:04.459,00:04:04.376,"LID(bep,stan,evon)",@t,724,het
. dat dat is niet,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,890,geval . nee nee .,fn000008,00:04:57.964,00:04:57.813,"LID(bep,stan,evon)",h@t,890,het
maar wat is nou feitelijk,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,923,geval ? de overzichten komen,fn000008,00:05:05.325,00:05:05.224,"LID(bep,stan,evon)",@t,923,het
de overzichten komen beschikbaar .,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,931,postvakje is nu niet de,fn000008,00:05:08.063,00:05:07.841,"LID(bep,stan,evon)",@t,931,het
hu ja . hoeveel is,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,988,acht afdelingen zeven afdelingen zo'n,fn000008,00:05:26.277,00:05:26.155,"VNW(pers,pron,stan,red,3,ev,onz)",@t,988,het
financi&euml;le bevoegdheid te leggen van,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,1065,formeel h&egrave; beheren van de,fn000008,00:05:52.357,00:05:52.135,"LID(bep,stan,evon)",hEt,1065,het
. feitelijk is feitelijk is,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,1080,zo dat de bestemmingen van,fn000008,00:05:58.372,00:05:58.191,"VNW(pers,pron,stan,red,3,ev,onz)",hEt,1080,het
dat die net als in,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,1093,verleden primair op suggestie op,fn000008,00:06:02.233,00:06:02.042,"LID(bep,stan,evon)",@t,1093,het
suggestie op voorstel hoe je,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,1102,noemen wil van de afdelingen,fn000008,00:06:07.146,00:06:07.090,"VNW(pers,pron,stan,red,3,ev,onz)",=@t,1102,het
de afdeling die lag bij,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,1127,centrale niveau . nee dat,fn000008,00:06:12.820,00:06:12.630,"LID(bep,stan,evon)",@t,1127,het
de bedoeling is juist dat,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,1228,secretariaat en bij sommige managementassistent,fn000008,00:06:44.214,00:06:44.032,"LID(bep,stan,evon)",hEt,1228,het
gebeurt terwijl de managementassistente of,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,1394,management van een onderwijs- of,fn000008,00:07:41.404,00:07:41.283,"LID(bep,stan,evon)",@t,1394,het
die moeten ... die hebben,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,1441,feitelijke beheer ok&eacute; . en,fn000008,00:07:57.591,00:07:57.494,"LID(bep,stan,evon)",=@t,1441,het
op . zoals dat in,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,1492,verleden ook was . xxx,fn000008,00:08:11.709,00:08:11.669,"LID(bep,stan,evon)",t,1492,het
mmm . waar hebben we,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,1616,nou over ? mm-hu ja,fn000008,00:08:48.178,00:08:48.049,"VNW(pers,pron,stan,red,3,ev,onz)",=@t,1616,het
d'r zijn mensen aanspreekbaar op,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,1643,niveau van van de opleidingen,fn000008,00:08:55.987,00:08:55.745,"LID(bep,stan,evon)",@t,1643,het
opleiding kijk en vroeger was,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,1674,inderdaad zo van d'r was,fn000008,00:09:05.761,00:09:05.640,"VNW(pers,pron,stan,red,3,ev,onz)",@t,1674,het
ons ook niet . maar,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,1734,is de bedoeling dat dat,fn000008,00:09:18.241,00:09:18.140,"VNW(pers,pron,stan,red,3,ev,onz)",@t,1734,het
da daar zit dus juist,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,1768,probleem . xxx hebben die,fn000008,00:09:27.094,00:09:27.003,"LID(bep,stan,evon)",@t,1768,het
nou ja bij ons gebeurt,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,1862,bij ons gebeurt het wel,fn000008,00:09:50.599,00:09:50.326,"VNW(pers,pron,stan,red,3,ev,onz)",=@t,1862,het
gebeurt het bij ons gebeurt,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,1866,wel . uh uh ik,fn000008,00:09:51.569,00:09:51.367,"VNW(pers,pron,stan,red,3,ev,onz)",=@t,1866,het
denk in de praktijk gebeurt,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,1877,in een aantal afdelingen zo,fn000008,00:09:52.992,00:09:52.865,"VNW(pers,pron,stan,red,3,ev,onz)",=@t,1877,het
uh gewoon praktisch gesproken er,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,1935,beste aan doen dat we,fn000008,00:10:09.095,00:10:08.995,"LID(bep,stan,evon)",@t,1935,het
xxx wij hebben wij hebben,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,1972,wij hebben 't dus aan,fn000008,00:10:22.143,00:10:21.922,"VNW(pers,pron,stan,red,3,ev,onz)",@t,1972,het
ten aanzien van zoiets als,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,2041,maken van dienstreizen bleek totaal,fn000008,00:10:44.674,00:10:44.552,"LID(bep,stan,evon)",@t,2041,het
presentaties vandaag zijn . in,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,8,eerste verhaal komen de idealen,fn000069,00:00:03.974,00:00:03.832,"LID(bep,stan,evon)",@t,8,het
aan de orde en in,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,22,tweede verhaal komt aan de,fn000069,00:00:08.364,00:00:08.192,"LID(bep,stan,evon)",@t,22,het
is dat de eerste spreker,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,75,had over koesteren en ik,fn000069,00:00:23.316,00:00:23.195,"VNW(pers,pron,stan,red,3,ev,onz)",@t,75,het
en de tweede spreker had,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,94,over beschermen en ook dat,fn000069,00:00:28.896,00:00:28.806,"VNW(pers,pron,stan,red,3,ev,onz)",@t,94,het
en milieu van uh van,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,292,Knooppunt Arnhem Nijmegen ggg .,fn000069,00:01:31.668,00:01:31.547,"LID(bep,stan,evon)",@t,292,het
de dragers van van van,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,402,landschap het water uh uh,fn000069,00:02:08.476,00:02:08.355,"LID(bep,stan,evon)",@t,402,het
van van van het landschap,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,404,water uh uh de de,fn000069,00:02:09.482,00:02:09.340,"LID(bep,stan,evon)",@t,404,het
iets andere bewoordingen op op,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,444,naar elkaar toe groeien van,fn000069,00:02:23.446,00:02:23.315,"LID(bep,stan,evon)",@t,444,het
stad &eacute;&eacute;n corridor . uh,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,460,het aardige is dat dat,fn000069,00:02:29.192,00:02:29.040,"LID(bep,stan,evon)",@t,460,het
&eacute;&eacute;n corridor . uh het,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,461,aardige is dat dat uh,fn000069,00:02:29.324,00:02:29.192,"LID(bep,stan,evon)",@t,461,het
vorm te geven . uhm,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,500,valt mij ook op dat,fn000069,00:02:45.126,00:02:45.005,"VNW(pers,pron,stan,red,3,ev,onz)",@t,500,het
de geleding van uh van,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,542,gebied . uhm dat sterkt,fn000069,00:02:56.583,00:02:56.462,"LID(bep,stan,evon)",@t,542,het
ook in uh in in,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,554,idee wat we hebben voor,fn000069,00:03:00.495,00:03:00.373,"LID(bep,stan,evon)",@t,554,het
uh als onderdeel ook wordt,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,575,onderkend door uh door het,fn000069,00:03:07.535,00:03:07.474,"VNW(pers,pron,stan,red,3,ev,onz)",@t,575,het
het onderkend door uh door,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,580,rijk van de ecologische hoofdstructuur,fn000069,00:03:08.713,00:03:08.572,"LID(bep,stan,evon)",@t,580,het
van de ecologische hoofdstructuur en,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,587,en het aardige is wij,fn000069,00:03:11.352,00:03:11.231,"LID(bep,stan,evon)",@t,587,het
ecologische hoofdstructuur en het en,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,589,aardige is wij willen daar,fn000069,00:03:11.620,00:03:11.474,"LID(bep,stan,evon)",@t,589,het
enorm veel uh geld van,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,614,rijk voor uh uh toegezegd,fn000069,00:03:19.358,00:03:19.237,"LID(bep,stan,evon)",@t,614,het
heeft uh heeft aangesproken is,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,680,idee van de uitdaging blijf,fn000069,00:03:41.360,00:03:41.228,"LID(bep,stan,evon)",@t,680,het
. honderd jaar geleden zag,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,708,er uh ja was het,fn000069,00:03:50.282,00:03:50.161,"VNW(pers,pron,stan,red,3,ev,onz)",@t,708,het
het er uh ja was,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,713,was het was het puur,fn000069,00:03:51.946,00:03:51.784,"VNW(pers,pron,stan,red,3,ev,onz)",@t,713,het
uh ja was het was,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,715,was het puur landschap en,fn000069,00:03:52.261,00:03:52.129,"VNW(pers,pron,stan,red,3,ev,onz)",@t,715,het
was het was het was,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,717,puur landschap en een paar,fn000069,00:03:52.606,00:03:52.545,"VNW(pers,pron,stan,red,3,ev,onz)",@t,717,het
verspreide huizen en hoe zal,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,730,er over uh honderd jaar,fn000069,00:03:56.237,00:03:56.126,"VNW(pers,pron,stan,red,3,ev,onz)",@t,730,het
uitzien ? uh heb niet,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,741,idee dat wat we nu,fn000069,00:03:59.036,00:03:58.864,"LID(bep,stan,evon)",@t,741,het
dat dat uh dat dat,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,755,eindbeeld voor uh voor de,fn000069,00:04:03.043,00:04:02.852,"LID(bep,stan,evon)",@t,755,het
vijfentwintig gemeenten in uh in,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,827,KAN-gebied en de provincie die,fn000069,00:04:27.097,00:04:26.976,"LID(bep,stan,evon)",@t,827,het
mevrouw Bakker want ik begrijp,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,956,niet helemaal . u zegt,fn000069,00:05:11.887,00:05:11.826,"VNW(pers,pron,stan,red,3,ev,onz)",@t,956,het
de snelwegen ik zie dus,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,1050,verdwijnen van het open landschap,fn000069,00:05:44.206,00:05:44.125,"LID(bep,stan,evon)",@t,1050,het
zie dus het verdwijnen van,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,1053,open landschap en ik zie,fn000069,00:05:45.003,00:05:44.902,"LID(bep,stan,evon)",@t,1053,het
een nieuwbouwwijk in een uiterwaarde,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,1112,rivierenlandschap wat u graag uh,fn000069,00:06:02.752,00:06:02.661,"LID(bep,stan,evon)",@t,1112,het
ziet . dus ik zeg,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,1123,concept is goed als ik,fn000069,00:06:05.675,00:06:05.533,"LID(bep,stan,evon)",@t,1123,het
dan ook goed ? want,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,1141,wordt dan helemaal volgepland tussen,fn000069,00:06:10.079,00:06:10.008,"VNW(pers,pron,stan,red,3,ev,onz)",@t,1141,het
zitten . maar dan begint,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,1219,dan moet je 't maken,fn000069,00:06:39.868,00:06:39.766,"VNW(pers,pron,stan,red,3,ev,onz)",@t,1219,het
want ik geloof wel dat,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,1456,goed is om te zorgen,fn000069,00:07:55.913,00:07:55.762,"VNW(pers,pron,stan,red,3,ev,onz)",@t,1456,het
platen komt maar dan begint,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,1515,en dat beginnen dat moet,fn000069,00:08:15.537,00:08:15.314,"VNW(pers,pron,stan,red,3,ev,onz)",@t,1515,het
quota prachtig maar nou maak,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,1555,nu goed zorg dat het,fn000069,00:08:31.192,00:08:31.060,"VNW(pers,pron,stan,red,3,ev,onz)",@t,1555,het
het nu goed zorg dat,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,1560,ook goed in mekaar zit,fn000069,00:08:32.713,00:08:32.592,"VNW(pers,pron,stan,red,3,ev,onz)",@t,1560,het
stap zorg niet alleen dat,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,1575,goed in mekaar zit en,fn000069,00:08:36.609,00:08:36.487,"VNW(pers,pron,stan,red,3,ev,onz)",@t,1575,het
hier een plan ligt waarvan,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,1620,concept goed is maar nu,fn000069,00:09:02.317,00:09:02.216,"LID(bep,stan,evon)",@t,1620,het
een visie gemaakt en uh,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,1652,KAN heeft nu een structuurschets,fn000069,00:09:11.994,00:09:11.863,"LID(bep,stan,evon)",@t,1652,het
organiseren ? en daar zit,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,1688,fundamentele probleem in dit gebied,fn000069,00:09:24.234,00:09:24.153,"LID(bep,stan,evon)",@t,1688,het
dit is voor ons echt,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,1762,probleem wat wij nu nu,fn000069,00:09:47.813,00:09:47.687,"LID(bep,stan,evon)",@t,1762,het
geen vraag maar u heeft,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,1800,probleem zo helder neergezet dat,fn000069,00:09:57.614,00:09:57.513,"LID(bep,stan,evon)",@t,1800,het
doen . ik denk dat,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,1817,nu een goed moment is,fn000069,00:10:07.412,00:10:07.250,"VNW(pers,pron,stan,red,3,ev,onz)",@t,1817,het
focussen en te zien waar,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,1917,werkelijk om gaat in de,fn000069,00:10:36.757,00:10:36.630,"VNW(pers,pron,stan,red,3,ev,onz)",@t,1917,het
afspeelt namelijk een afgietsel van,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,1955,beeld van Mariken Van Nimwegen,fn000069,00:10:50.714,00:10:50.573,"LID(bep,stan,evon)",@t,1955,het
Mariken Van Nimwegen 't is,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,1963,andere cadeau is geen entre,fn000069,00:10:54.693,00:10:54.561,"LID(bep,stan,evon)",@t,1963,het
op band wordt opgenomen is,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,60,uhm goed dat u zich,fn000076,00:00:30.379,00:00:30.134,"LID(bep,stan,evon)",@t,60,het
stellen . wie mag ik,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,95,woord geven ? of hebben,fn000076,00:00:46.229,00:00:46.097,"LID(bep,stan,evon)",@t,95,het
afwijkende reacties ? ik ben,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,126,er helemaal niet mee eens,fn000076,00:01:16.720,00:01:16.598,"VNW(pers,pron,stan,red,3,ev,onz)",@t,126,het
dus wat dat betreft is,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,192,makkelijk uh hu om een,fn000076,00:01:44.348,00:01:44.278,"VNW(pers,pron,stan,red,3,ev,onz)",@t,192,het
is ga b vooral over,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,210,uh plan van de gemeente,fn000076,00:01:50.001,00:01:49.819,"LID(bep,stan,evon)",@t,210,het
uh zoals je weet is,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,223,de bedoeling dat we toch,fn000076,00:01:53.389,00:01:53.246,"VNW(pers,pron,stan,red,3,ev,onz)",@d,223,het
uh duurzame energie hoe langer,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,234,meer gaan toepassen . rijksbeleid,fn000076,00:01:56.121,00:01:56.040,"LID(bep,stan,evon)",@t,234,het
uh zon te vangen om,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,384,maar zo te zeggen .,fn000076,00:02:51.352,00:02:51.241,"VNW(pers,pron,stan,red,3,ev,onz)",@t,384,het
nog wat uh uiteindelijk na,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,414,totale onderzoek wat traditioneel gekozen,fn000076,00:03:02.854,00:03:02.530,"LID(bep,stan,evon)",@%t,414,het
kleine energiecentrales die zijn dus,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,470,meest gunstig op dit moment,fn000076,00:03:28.767,00:03:28.519,"LID(bep,stan,evon)",@t,470,het
op . dat is ongeveer,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,536,verhaal nu . helder dank,fn000076,00:03:52.913,00:03:52.792,"LID(bep,stan,evon)",@t,536,het
aan de heer Gijzel over,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,573,water . d'r is in,fn000076,00:04:08.105,00:04:07.982,"LID(bep,stan,evon)",@t,573,het
afvalwater dusdanig kon zuiveren dat,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,595,weer drinkwaterkwaliteit kreeg . dat,fn000076,00:04:16.414,00:04:16.293,"VNW(pers,pron,stan,red,3,ev,onz)",@t,595,het
een dusdanige heibel ontstaan dat,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,633,uh schone water nu weer,fn000076,00:04:29.674,00:04:29.512,"LID(bep,stan,evon)",@t,633,het
met oppervlaktewater gevoerd wordt en,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,645,oppervlaktewater weer geschikt gemaakt wordt,fn000076,00:04:33.965,00:04:33.854,"LID(bep,stan,evon)",@t,645,het
mijn vraag is eigenlijk uhm,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,660,idee is uitstekend ik denk,fn000076,00:04:39.596,00:04:39.474,"LID(bep,stan,evon)",@t,660,het
geeft zelf al aan uhm,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,701,is iets anders dan zeggen,fn000076,00:04:50.211,00:04:50.070,"VNW(pers,pron,stan,red,3,ev,onz)",@t,701,het
e werking te stellen dat,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,796,een behoorlijk groot gebied zoals,fn000076,00:05:17.584,00:05:17.442,"VNW(pers,pron,stan,red,3,ev,onz)",@t,796,het
uh dusdanig draagvlak krijgt dat,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,811,ook werkelijk gaat werken want,fn000076,00:05:22.574,00:05:22.452,"VNW(pers,pron,stan,red,3,ev,onz)",@t,811,het
want daar staat of valt,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,821,systeem mee . dank u,fn000076,00:05:25.397,00:05:25.286,"LID(bep,stan,evon)",@t,821,het
de wijk we praten gewoon,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,880,uh het normale DWA-water dus,fn000076,00:05:44.135,00:05:43.944,"LID(bep,stan,evon)",@t,880,het
we praten gewoon het uh,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,882,normale DWA-water dus fecali&euml;n et,fn000076,00:05:44.780,00:05:44.679,"LID(bep,stan,evon)",@t,882,het
zuivering en die verdwijnen gewoon,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,903,gebied uit . ja ?,fn000076,00:05:50.315,00:05:50.234,"LID(bep,stan,evon)",@t,903,het
praten hier over inderdaad toch,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,915,regenwater ja en da 's,fn000076,00:05:53.383,00:05:53.231,"LID(bep,stan,evon)",@t,915,het
's toch negentig procent van,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,925,regenwater wat er valt plus,fn000076,00:05:55.721,00:05:55.611,"LID(bep,stan,evon)",@t,925,het
voor uh de wasmachine voor,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,1014,toilet en voor de buitenkraan,fn000076,00:06:24.431,00:06:24.310,"LID(bep,stan,evon)",@t,1014,het
