"hit:word","hit_count"
"taaltechnologiebedrijf","2"
"Bij","2"
"Master","2"
"Technologies","2"
"bijvoorbeeld","2"
"ontvangen","2"
"interactie","2"
"interacties","2"
"interessant","2"
"Interfaces","2"
"Media","2"
"tekst","2"
"verstaan","2"
"vertaalcomputers","2"
"Zesde","2"
"zeven","2"
"Zie","2"
"dwarsverbanden","2"
"zoals","2"
"menselijke","2"
"alle","2"
"gezamenlijk","2"
"juridische","2"
"TILBURG","2"
"rond","2"
"eigen","2"
"Kaderprogramma","2"
"analyse","2"
"ruim","2"
"samenwerking","2"
"kennis","2"
"Group","2"
"Er","2"
"Haag","2"
"moeten","2"
"VOOR","2"
"overheid","2"
"tussen","2"
"Science","2"
"basis","2"
"U","2"
"sectie","2"
"pagina's","2"
"extraheren","2"
"uiterlijk","2"
"bedoeling","2"
"computerprogramma's","2"
"kosten","2"
"uitgelegd","2"
"Nederlands","2"
"Flexbranche","2"
"software","2"
"niet","2"
"Solliciteren","2"
"hoeven","2"
"uitzendbureau","2"
"laat","1"
"Frans","1"
"plaats","1"
"NIEUWE","1"
"culturele","1"
"plaatsen","1"
"lacunes","1"
"'s","1"
"free","1"
"plan","1"
"%","1"
"user","1"
"full","1"
"functie","1"
"curriculim","1"
"cursist","1"
"053","1"
"06","1"
"belangstellenden","1"
"belangstelling","1"
"UvT","1"
"Functionele","1"
"CV","1"
"uw","1"
"spelen","1"
"100","1"
"v","1"
"vaak","1"
"125","1"
"belastinggeld","1"
"waarnaar","1"
"14","1"
"14.00","1"
"vacaturenummer","1"
"vacatures","1"
"17","1"
"17.00","1"
"18","1"
"Waarschijnlijk","1"
"waarschijnlijkheid","1"
"landen","1"
"vakantiegangers","1"
"waarvan","1"
"vakantiezinnen","1"
"hoogte","1"
"2004","1"
"nooit","1"
"206","1"
"Daarbij","1"
"28","1"
"LANGTECH","1"
"hoort","1"
"Spraakcommunicatie","1"
"normale","1"
"spraakgestuurd","1"
"SPRAAKGESTUURDE","1"
"31","1"
"spraakherkenning","1"
"spraaktechnologie","1"
"VAN","1"
"4893740","1"
"48984808","1"
"LAST-MINUTE","1"
"NOVEMBER","1"
"http://parlevink.cs.utwente.nl","1"
"Daarvoor","1"
"http://taalschrift.org/discussie/000087.html","1"
"http://www.hltcentral.org/page-243.shtml","1"
"http://www.landcglobal.com/pages/newsview.php?news_id=82","1"
"http://www.senter.nl/asp/page.asp?id=i001228&alias=egl","1"
"nu","1"
"http://www.textkernel.com","1"
"http://www.uvt.nl/personeel/vacatures/extern/8100307.html","1"
"vanuit","1"
"Vanuit","1"
"huidige","1"
"learning-methodiek","1"
"variatie","1"
"belicht","1"
"nummer","1"
"7","1"
"7,2","1"
"8","1"
"80","1"
"810.03.07","1"
"belt","1"
"geautomatiseerd","1"
"geautomatiseerde","1"
"geavanceerde","1"
"Gebarentalen","1"
"gebaseerd","1"
"WEBSITE","1"
"leerling-computer","1"
"pragmatiek","1"
"praktijk","1"
"HUMAN","1"
"Lees","1"
"oefenen","1"
"hun","1"
"aanbevelingen","1"
"Of","1"
"Benchmarking","1"
"gebracht","1"
"aanbod","1"
"data-entry","1"
"benoemen","1"
"gebruik","1"
"veelgebruikte","1"
"bent","1"
"Bent","1"
"DE","1"
"DEADLINE","1"
"gebruikmaken","1"
"OKTOBER","1"
"Om","1"
"gecombineerd","1"
"start","1"
"STARTEN","1"
"veiligheid","1"
"beperkt","1"
"beperkte","1"
"leidt","1"
"deel","1"
"state","1"
"deelname","1"
"veld","1"
"Deelnemers","1"
"IDE","1"
"vele","1"
"deelprojecten","1"
"bereikbaar","1"
"bereikt","1"
"lesmateriaal","1"
"weinig","1"
"Let","1"
"wel","1"
"berichtje","1"
"gedetailleerd","1"
"stellen","1"
"omtrent","1"
"delen","1"
"omvat","1"
"leveranciers","1"
"verbeteren","1"
"levert","1"
"gedrukte","1"
"verbindend","1"
"geef","1"
"Geesteswetenschappen","1"
"geëxpliciteerde","1"
"lidstaten","1"
"geformuleerd","1"
"In","1"
"werken","1"
"liggende","1"
"aannamen","1"
"LIGHT","1"
"gegeven","1"
"onderaan","1"
"verder","1"
"onderbouwde","1"
"product","1"
"werking","1"
"lijvig","1"
"onderdeel","1"
"inclusief","1"
"gehad","1"
"bestaan","1"
"desgewenst","1"
"werkt","1"
"ondergebracht","1"
"LINGBENCH","1"
"werktijd","1"
"productontwikkeling","1"
"PRODUCTONTWIKKELING","1"
"geheel","1"
"beste","1"
"bestedingen","1"
"aansluit","1"
"LINKFACTORY","1"
"werkzaam","1"
"bestellen","1"
"bestemd","1"
"vereenvoudigen","1"
"Deze","1"
"geïnformeerd","1"
"geïnteresseerden","1"
"Informatica","1"
"wetenschappelijk","1"
"informaticus","1"
"programmeurs","1"
"progress","1"
"informatiebronnen","1"
"gekomen","1"
"projectraining","1"
"vergeleken","1"
"informatiemiddag","1"
"projectteam","1"
"INFORMATIEMIDDAG","1"
"dienen","1"
"promotie","1"
"PROMOTIEPLAATS","1"
"gelanceerd","1"
"Information","1"
"dienstverlener","1"
"geldt","1"
"onderwijs-","1"
"Wie","1"
"digitaal","1"
"digitale","1"
"betrekking","1"
"onderzoeken","1"
"structurering","1"
"onderzoekers","1"
"onderzoeksbeleid","1"
"verhogen","1"
"onderzoeksbeurzen","1"
"onderzoekscentra","1"
"onderzoeksinstituut","1"
"diploma","1"
"luisteren","1"
"Dirk","1"
"Discourse","1"
"lunch","1"
"Study","1"
"bevat","1"
"ongeacht","1"
"m","1"
"DISCUSSIE","1"
"Wilt","1"
"maakt","1"
"maand","1"
"diverse","1"
"initiatie","1"
"initiatief","1"
"wisselende","1"
"maat","1"
"subtiel","1"
"ongestructureerde","1"
"document","1"
"documentatiemap","1"
"machine","1"
"onlangs","1"
"VERLENGD","1"
"on-line","1"
"gemiste","1"
"actief","1"
"mailen","1"
"maken","1"
"verloopt","1"
"reactiemogelijkheid","1"
"Generatieve","1"
"reacties","1"
"systematisch","1"
"reageren","1"
"woordkeuze","1"
"adaptief","1"
"innovatieve","1"
"Adaptieve","1"
"realiseren","1"
"genoemde","1"
"Word","1"
"Taal","1"
"inpasbaar","1"
"taalcontact","1"
"worden.","1"
"TAALCURSUS","1"
"taalcursussen","1"
"taalkunde","1"
"taalkundig","1"
"taalleerinhouden","1"
"taalleerprocessen","1"
"genuanceerd","1"
"taalleerstrategieën","1"
"taalleren","1"
"taalonderwijs","1"
"TAALSCHRIFT","1"
"administratieve","1"
"taalstoornissen","1"
"taaltechnologie","1"
"TAALTECHNOLOGIE","1"
"geopend","1"
"Taalvariatie","1"
"taalverandering","1"
"inschrijving","1"
"Marc","1"
"VERNIEUWD","1"
"www.group2000.nl","1"
"www.hum.uva.nl/aclc","1"
"biedt","1"
"talen","1"
"www.vakantietaal.nl","1"
"adresgegevens","1"
"bijdrage","1"
"marktanalyses","1"
"bijeenkomst","1"
"instituut","1"
"af","1"
"masters","1"
"MASTERS-OPLEIDING","1"
"technisch","1"
"matchcriteria","1"
"technologie","1"
"mate","1"
"downloaden","1"
"zaken","1"
"technologische","1"
"intelligente","1"
"intensieve","1"
"ontvangst","1"
"MB","1"
"interactieve","1"
"interactievormen","1"
"Interaction","1"
"Binnen","1"
"INTERACTION","1"
"Interactions","1"
"ontwerpen","1"
"ontwerpers","1"
"ontwerpproces","1"
"interdisciplinaire","1"
"interface","1"
"interfaces","1"
"reeds","1"
"Zeg","1"
"afgesloten","1"
"ontwikkelingen","1"
"Afgestudeerden","1"
"MEDIA","1"
"regels","1"
"tekstinterpretatie","1"
"zelf","1"
"tekststructuur","1"
"geselecteerd","1"
"geselecteerde","1"
"mediakunstenaars","1"
"telecommunicatie","1"
"gesolliciteerd","1"
"telefonische","1"
"telefoon","1"
"gespecialiseerd","1"
"TELEFOON","1"
"telefoonnummer","1"
"medische","1"
"onze","1"
"gesprekstarief","1"
"vertalen","1"
"vertaling","1"
"introductie","1"
"introductiecursus","1"
"Introductiecursus","1"
"INTRODUCTIECURSUS","1"
"Gestart","1"
"afsluiten","1"
"gestructureerde","1"
"ten","1"
"invoer","1"
"reizigers","1"
"Oostendorp","1"
"getekend","1"
"meer","1"
"ter","1"
"meerdere","1"
"getiteld","1"
"Duits","1"
"Op","1"
"afstudeertrajecten","1"
"termijn","1"
"Meertaligheid","1"
"inzichten","1"
"dus","1"
"terrein","1"
"terreinen","1"
"zij","1"
"mei'03","1"
"geven","1"
"zin","1"
"IST-PROGRAMMA","1"
"Italiaans","1"
"zinvoller","1"
"verwerken","1"
"zitten","1"
"verwerking","1"
"gevorderden","1"
"gevormd","1"
"verwezen","1"
"gevraagd","1"
"tevens","1"
"zoek","1"
"mens","1"
"mens-computer","1"
"zoekt","1"
"januari","1"
"AIO","1"
"aio's","1"
"AiO's","1"
"je","1"
"TEXTKERNEL","1"
"aio-projecten","1"
"Textkernel's","1"
"opgeleide","1"
"AIO-VACATURES","1"
"opgeleverd","1"
"the","1"
"al","1"
"Al","1"
"richt","1"
"theoretische","1"
"richtlijnen","1"
"verzendkosten","1"
"rijk","1"
"opgeven","1"
"algemene","1"
"jongstleden","1"
"alleen","1"
"GEZAMENLIJKE","1"
"ophouden","1"
"zowel","1"
"Tijdens","1"
"jul'03","1"
"tijdsbesparing","1"
"alles","1"
"VIA","1"
"jun'03","1"
"eerst","1"
"Almelo","1"
"eerste","1"
"Als","1"
"zult","1"
"Tilburg","1"
"Eerste-taalverwerving","1"
"Middags","1"
"time","1"
"opmaak","1"
"middels","1"
"effectief","1"
"Zweeds","1"
"rol","1"
"efficiencyverhoging","1"
"toegelicht","1"
"vijftig","1"
"MILAAN","1"
"Amerikaanse","1"
"AMERIKAANSE","1"
"AMSTERDAM","1"
"vindt","1"
"Amsterdamse","1"
"eind","1"
"analyses","1"
"and","1"
"andere","1"
"ruime","1"
"optimaliteit","1"
"grammatica","1"
"eindrapport","1"
"vitae's","1"
"Anderzijds","1"
"GRATIS","1"
"Vlaamse","1"
"kandidaten","1"
"Kandidaten","1"
"buitenland","1"
"buitenlandse","1"
"kansen","1"
"Grieks","1"
"opvullen","1"
"element","1"
"kanten","1"
"Antwerpen","1"
"safety","1"
"opzichte","1"
"samen","1"
"samenhangen","1"
"groepen","1"
"business","1"
"empirisch","1"
"Samenleving","1"
"En","1"
"organiseert","1"
"organiseren","1"
"KB","1"
"samenstellende","1"
"samenvatting","1"
"tools","1"
"Engels","1"
"toonaangevende","1"
"OVER","1"
"grote","1"
"voldoende","1"
"volgende","1"
"modellen","1"
"volgorde","1"
"cd","1"
"overeenkomst","1"
"art","1"
"KIEST","1"
"haar","1"
"Center","1"
"asjeblief","1"
"mogelijkheden","1"
"ervan","1"
"OVERHEID","1"
"hand","1"
"essentiële","1"
"KiVi-gebouw","1"
"TST-dag","1"
"E-Translator","1"
"EU","1"
"EU-initiatief","1"
"euro","1"
"Euromap","1"
"EUROMAP","1"
"euromap@ntu.nl","1"
"Turks","1"
"EUROMAP-EINDRAPPORT","1"
"Europa","1"
"Europe","1"
"handmatige","1"
"hands","1"
"Europese","1"
"EVALUATIE","1"
"CLIF","1"
"mp3","1"
"voorjaar","1"
"Multiculturele","1"
"Cognitie","1"
"COGNITIE","1"
"Tweede-taalverwerving","1"
"Twente","1"
"column","1"
"combinatie","1"
"combinaties","1"
"vooropleiding","1"
"Typologie","1"
"u.","1"
"commerciële","1"
"Naar","1"
"Uit","1"
"extra","1"
"extractie","1"
"semantiek","1"
"communicatie","1"
"COMMUNICATIE","1"
"Communication","1"
"voortdurend","1"
"nadere","1"
"uiteenlopende","1"
"uiteindelijk","1"
"september","1"
"uiteraard","1"
"koppelen","1"
"uitgangspunten","1"
"korte","1"
"PARIJS","1"
"bedragen","1"
"computers","1"
"herhaalt","1"
"Computers","1"
"Computing","1"
"concentreert","1"
"voorwaarde","1"
"nationaal","1"
"national","1"
"februari","1"
"participeren","1"
"kostenbesparingen","1"
"uitgenodigd","1"
"sinds","1"
"Sinds","1"
"partner","1"
"natuurlijke","1"
"KP6","1"
"Vorige","1"
"nauw","1"
"vorm","1"
"patiënt","1"
"patiënten","1"
"slagen","1"
"NB","1"
"PDF","1"
"begint","1"
"financiële","1"
"Constructieve","1"
"neergelegd","1"
"Heylen","1"
"per","1"
"perfecte","1"
"context","1"
"Hierna","1"
"contract","1"
"flexmarkt","1"
"behandeld","1"
"uitspraak","1"
"kunt","1"
"nemen","1"
"network","1"
"HLT","1"
"hmi@cs.utwente.nl","1"
"fonetiek","1"
"for","1"
"Society","1"
"core","1"
"uitvoeren","1"
"formaat","1"
"softwareleverancier","1"
"solliciteren","1"
"creatief","1"
"Creolistiek","1"
"sowieso","1"
